contract_id,summary,termination_clause,confidentiality_clause,liability_clause
CcRealEstateIncomeFundadv_20181205_POS 8C_EX-99.(H)(3)_11447739_EX-99.(H)(3)_Marketing Agreement,"This contract is a Wholesale Marketing Agreement between ALPS Distributors Inc. and S2K Financial LLC. The purpose of the agreement is to allow S2K's representatives to market the Funds to Intermediaries, including broker-dealers registered with SEC and FINRA. S2K will use its reasonable best efforts to identify and introduce Intermediaries to the Funds, while not acting as an underwriter for sales loads. S2K may engage in seminars, distribute materials, and perform other marketing services on behalf of the Distributor. The agreement specifies that S2K must comply with certain conditions regarding registration and marketing practices.",Not found,"Confidentiality. Each party to this Agreement shall safeguard and hold confidential from disclosure to unauthorized parties all Confidential Information (as defined below) of the other party or parties.
For purposes of this Section 8, the term ""Confidential Information"" shall mean any and all information which is in any way connected with, derived from or related to the business of a party, including without limitation, any business and financial records, any retail or institutional customer information, computer programs, technical data, investment information, lists, compilations, compositions, programs, plans, devices, descriptions, drawings, methods, techniques, processes, designs, theories concepts or ideas, and any information relating to the pricing or marketing policies, suppliers or customers of a party.
(b) Confidential Information shall not include information to the extent such information is (i) already known to the receiving party free of any restriction at the time obtained, including information in the public domain; (ii) subsequently learned from an independent third party free of restriction; (iii) known through no wrongful act of any party; or (iv) independently developed by one party without reference to information which is confidential.
(c) For purposes of this Section 8, only the officers, directors and employees and agents of the parties, including their respective accountants, auditors and attorneys, shall be authorized parties, provided those individuals have a ""need to know"" the Confidential Information that is connected with or related to the business of the party.
(d) Each party agrees not to disclose any Confidential Information except as necessary in connection with this Agreement or for purposes of enforcing its rights under this Agreement.","(a) S2K shall indemnify and hold harmless the Distributor and each of its affiliates, officers, directors, employees, agents and control persons (as defined in Section 15 of the 1933 Act or Section 20 of the 1934 Act), from and against any loss, liability, claim, damage or expense (including the reasonable cost of investigating or defending any alleged loss, liability, claim, damage or expense and reasonable counsel fees incurred in connection therewith), as incurred, arising in connection with (i) S2K's violation of any of the provisions of this Agreement or (ii) S2K's violation of any applicable law, rule or regulation with respect to its conduct under the Agreement; provided, however, that in no case is the foregoing indemnity to be deemed to protect the Distributor or any of its affiliates, officers, directors, employees, agents or control persons (as defined in Section 15 of the 1933 Act or Section 20 of the 1934 Act) against any liability to which the Distributor or any such person would otherwise be subject by reason of its willful misfeasance, bad faith or gross negligence or by reason of the Distributor's reckless disregard of its obligations and duties under this Agreement.

(b) The Distributor shall indemnify and hold harmless S2K and each of its affiliates, directors, officers, employees, agents and control persons (as defined in Section 15 of the 1933 Act or Section 20 of the 1934 Act), from and against any loss, liability, claim, damage or expense (including the reasonable cost of investigating or defending any alleged loss, liability, claim, damage or expense and reasonable counsel fees incurred in connection therewith), as incurred, arising in connection with (i) the Distributor's violation of any of the provisions of this Agreement, (ii) the Distributor's violation of any applicable law, rule or regulation with respect to its conduct under the Agreement, or (iii) any untrue statement of a material fact or any omission of a material fact necessary in order to make the statements made, in light of the circumstances under which they were made, not misleading in any advertising or promotional material published or provided by the Distributor to S2K; provided,

(c) Any and all claims, losses, cost or expenses shall be limited to actual and direct costs.

In no event shall any party be responsible to the other for indirect, special or consequential damages."
SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules,"This agreement between EuroTel and Sicap Ltd pertains specifically to their SICAP(R) modules (PPB, VCA, and OTA). It includes standard service offerings such as hotline support, monthly telephone support, remote ISDN line access, and change management. Additional support is available but must be requested through separate quotation and ordering procedures. Pricing varies based on the type of support required. The contract excludes third-party software issues, misuse, or modifications to the system.","In case of a substantial breach of this maintenance and support contract by either party, which is not remedied within thirty days from the other party's notice thereof, the other party shall have the right to terminate this maintenance and support contract with immediate effect without juridical procedures.",Not found,"Sicap Ltd's liability for indirect loss, including consequential loss, loss of profit, lost savings and loss caused by interruption of operations is excluded."
NELNETINC_04_08_2020-EX-1-JOINT FILING AGREEMENT,"This contract is a joint filing agreement designed to report the ownership of securities by multiple parties, including individuals and trusts. Key obligations include jointly preparing and submitting reports to regulatory authorities, ensuring timely amendments are filed, and maintaining accurate information provided. Notable risks involve responsibility for the completeness and accuracy of each party's data, especially when dealing with others' information.",Not found,Not found,Not found
TELKOMSALTD_01_30_2003-EX-10-LICENCE AND MAINTENANCE AGREEMENT,"This contract establishes a licensing agreement between SAP Africa and TELKOM for software use, facilitating TELKOM's creation of an Internet-based business platform through the ""Marketplace"" feature. Key obligations include granting licenses under specified conditions with terms and definitions clarified. Notable risks involve adherence to legal frameworks like the Companies Act 1973 and potential changes in ownership impacting subsidiary status.","If, at any time during the currency of this Agreement, TELKOM in its reasonable discretion based on prima facie evidence determines that SAP AFRICA has, in respect of this Agreement or any other contract or agreement to which they were or are Parties:
16. 2. 1 acted dishonestly and/or in bad faith, and/or
16. 2. 2 has made any intentional or negligent misrepresentation to TELKOM whether in any negotiations preceding the conclusion of, or in the execution of this or any other agreement between the Parties,
then TELKOM will be entitled by written notice to SAP Africa forthwith to cancel this Agreement.","TELKOM shall maintain a log of the number and location of all originals and copies of the SOFTWARE. The inclusion of a copyright notice on any portion of the SOFTWARE, DOCUMENTATION or SAP AFRICA'S PROPRIETARY INFORMATION shall not cause, or be construed to cause, it to be a published work. Subject to the provisions of clause 8.1 that expressly provide otherwise, all modifications and extensions to the SOFTWARE and DOCUMENTATION shall be considered part of the SOFTWARE and DOCUMENTATION for purposes of this clause 7. Each party agrees that prior to disclosing any PROPRIETARY INFORMATION of the other party to any such other person, it will obtain from such other person, a written acknowledgement that he will be bound by the same terms as specified in this clause 7 with respect to the either party's PROPRIETARY INFORMATION.","12. 3 Subject to clause 11. 2, SAP AFRICA shall indemnify TELKOM against all claims, liabilities, and costs, including reasonable attorneys fees, reasonably incurred in the defence of any claim brought against TELKOM in the TERRITORY by a third party alleging that TELKOM'S USE of the SOFTWARE and DOCUMENTATION infringes a third party's copyright, patent, PROPRIETARY INFORMATION and/or trade secrets; provided that TELKOM promptly notifies SAP AFRICA in writing of any such claim and SAP AFRICA is permitted to control fully the defence and any settlement of such claim at SAP AFRICA'S own expense."
CYBERIANOUTPOSTINC_07_09_1998-EX-10.13-PROMOTION AGREEMENT,"Cyberian Outpost, Inc. has omitted portions of its agreement for confidential treatment by the Securities and Exchange Commission. The promotional agreement between CNET, Inc. and Cyberian Outpost, Inc., dated January 26, 1998, outlines how CNET will provide online and television promotions to Cyberian Outpost's website in exchange for compensation. Key obligations include providing a 15-second spot on TV.COM, advertising banners at the CNET sites, and Retail Promotions across the CNET sites. The agreement also specifies that if TV.COM is not aired during part of the term, two download.com banner ads will be run instead. Cyberian Outpost agrees to provide at least [XXXXXX] Retail Impressions within the first three months and [XXXXXX] Retail Impressions in subsequent months.","If this Agreement is terminated during any of the three month periods referenced in Section 2.3.2, then the required number of Retail Impressions applicable thereunder to such three month period will be pro rated accordingly.",Not found,Not found
AudibleInc_20001113_10-Q_EX-10.32_2599586_EX-10.32_Co-Branding Agreement_ Marketing Agreement_ Investment Distribution Agreement,"This contract is an agreement between Amazon.com Commerce Services, Inc. (ACSI) and Audible Inc., regarding co-branding, marketing, and distribution of products on ACSI's website. The key obligations include updating the list of competitors no more frequently than once per quarter by written notice, ensuring compliance with any contractual or legal obligations to ACSI Competitors, and defining terms such as Trademarks, Intellectual Property, and Derivative Works. Risks include potential conflicts with ACSI Competitors and the need for Company to comply with existing agreements without breaching them.",Not found,"Each Party will protect the Confidential Information of the other Party from misappropriation and unauthorized use or disclosure, and at a minimum, will take precautions at least as great as those taken to protect its own confidential information of a similar nature, but in no event with less than reasonable care. Without limiting the foregoing, the Receiving Party will: (a) use such Confidential Information solely for the purposes for which it has been disclosed; and (b) disclose such Confidential Information only to those of its and its Affiliates' employees, agents, and consultants who have a need to know the same for the purpose of performing this Agreement and who are informed of and agree to a duty of nondisclosure.",Not found
2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-Branding Agreement_ Agency Agreement,"This contract is an agreement between i-Escrow, Inc., and 2TheMart.com, Inc., for co-branding and advertising. The purpose is to establish terms for using each party's content on a joint web-site accessible through Domain Name. Key obligations include providing Content (i.e., text, images) from both parties, launching the Co-Branded Site by June 21, 1999, and transferring information between parties via Information Transfer Mechanism. Notable risks involve ensuring compliance with t terms of service and avoiding unauthorized use or misrepresentation of Marks.",Not found,Not found,"In addition, 2TheMart shall indemnify i-Escrow against any and all claims, losses, costs and expenses, including reasonable attorneys' fees, which i-Escrow may incur as a result of claims in any form by third parties arising from 2TheMart Content.

In addition, i-Escrow shall indemnify 2TheMart against any and all claims, losses, costs and expenses, including reasonable attorneys' fees, which 2TheMart may incur as a result of claims in any form by third parties arising from i-Escrow Content and or the Services provided to Customers.

The foregoing obligations are conditioned on the Indemnified Party:
(i) giving the Indemnifying Party notice of the relevant claim,
(ii) cooperating with the Indemnifying Party, at the Indemnifying Party's expense, in the defense of such claim,
and (iii) giving the Indemnifying Party the right to control the defense and settlement of any such claim, except that the Indemnifying Party shall not enter into any settlement that affects the Indemnified Party's rights or interest without the Indemnified Party's prior written approval.

The Indemnified Party shall have the right to participate in the defense at its expense."
BANUESTRAFINANCIALCORP_09_08_2006-EX-10.16-AGENCY AGREEMENT,"**Summary:**

El Banco Financial Corporation proposes to engage a sales agent named ""Agent"" to assist with the sale of its common stock. The Offering involves the initial public offering (IPO) where El Banco Financial Corporation is selling shares to the public. The Company has prepared and filed a registration statement on Form SB-2 under the 1933 Act, including a prospectus, for the IPO. The Agent will work ""best efforts"" to promote the sale of these Shares. The Offering includes a Preliminary Prospectus, any Permitted Free Writing Prospectuses related to the offering, and any Blue Sky Applications necessary for compliance with securities laws in various jurisdictions.",Not found,Not found,"The Agent will reimburse the Company and the Company Indemnitees for any legal or other expenses reasonably incurred (individually or collectively) by it or them in connection with investigating or defending any such loss, claim, damage, liability or action."
"NETGEAR,INC_04_21_2003-EX-10.16-DISTRIBUTOR AGREEMENT","This contract establishes a distributor agreement between Ingram Micro and NETGEAR, outlining terms for hardware and software sales between the two companies. Key obligations include purchasing products listed on the Price List and reselling them within the specified Territory. Notable risks involve NETGEAR's right to sell or license Products directly, subject to certain marketing activities as outlined in an attached Marketing Plan.","Either party may terminate this Agreement immediately if (i) the other party becomes insolvent, files or has filed against it a petition in bankruptcy, or ceases doing business; or (ii) the other party fails to cure a material breach of the Agreement within thirty (30) days after receipt of written notice of such breach from the party not in default.",Not found,"Except for damages arising from breach of Sections 6.C and 12, 13 or 17, in no event shall Distributor's total liability for any damages in any action based on or arising out of or in connection with the Agreement exceed [*] to NETGEAR pursuant to the Agreement."
ATENTOSA_07_06_2020-EX-99.1-JOINT FILING AGREEMENT,"This contract is governed by Rule 13d-1(k)(1) of the Securities Exchange Act of 1934, as amended. It mandates joint filing of Schedule 13D statements and amendments without additional agreements being necessary. The parties involved are HPS Investment Partners, LLC, its affiliates, and their investment managers. This agreement permits execution in multiple counterparts and is not deemed an admission that these entities constitute a group or have acted together.",Not found,Not found,Not found
"FOUNDATIONMEDICINE,INC_02_02_2015-EX-10.2-Collaboration Agreement","This Collaboration Agreement between Roche Basel, Roche US, FMI aims to foster a partnership focused on the advancement of diagnostic tests related to cancer genomics. Key obligations include sharing confidential information, conducting clinical studies, handling samples, and developing assays. Notable risks encompass regulatory compliance, data security breaches, and potential conflicts with existing patents. The agreement specifies specific terms for each party's participation in research and development activities within designated territories.","If such breach is not cured within the Peremptory Notice Period, then absent withdrawal of the Non-Breaching Party's request for termination, the relevant Work Stream (or Approved Marker or Investigational Marker program) shall terminate in accordance with the notice from the Non-Breaching Party as of the expiration of the Peremptory Notice Period.","During the Agreement Term and for [...***...] thereafter, a Receiving Party shall (i) treat Confidential Information provided by Disclosing Party as it would treat its own information of a similar nature, (ii) take all reasonable precautions not to disclose such Confidential Information

to Third Parties, without the Disclosing Party's prior written consent, and (iii) not use such Confidential Information other than for fulfilling its obligations or exercising its rights under this Agreement.

If any Confidential Information is required to be disclosed by the Receiving Party or its Affiliates to comply with a court or administrative order, the Receiving Party or its Affiliates, prior to making such disclosure, shall furnish as much notice as is reasonable under the circumstances to the Disclosing Party to enable it to resist such disclosure.

Notwithstanding the foregoing, each Party must comply with its obligations under Section 16.1 and 16.5.",Not found
Quaker Chemical Corporation - NON COMPETITION AND NON SOLICITATION AGREEMENT,"This Non-competition and Non-solicitation Agreement is between Quaker Chemical Corporation, Gulf Houghton Lubricants Ltd., Gulf Oil International Limited, GOCL Corporation Limited, and Gulf Oil Lubricants India Ltd. It covers the non-compete and non-solicitation obligations of the Sellers to refrain from competing with or soliciting business from Buyer's subsidiaries for a period after the Effective Date. The key obligations include not engaging in similar activities within 12 months post-Effective Date and not soliciting any employees, customers, or clients of Buyer's subsidiaries. Notable risks involve potential breach of non-compete clauses by Sellers, which could lead to legal action against them.",Not found,"WHEREAS, it is integral to Buyer's acquisition of the Company Business and a condition precedent to the closing of the transactions contemplated by the Purchase Agreement that the Sellers enter into this Agreement with Buyer to provide for the protection of the Combined Business's customer and vendor relationships, trade secrets, confidential information and other business operations.","No provision of this Agreement is intended to confer any rights, benefits, remedies, obligations or liabilities
hereunder upon any Person other than the parties and their respective successors and permitted assigns."
AMBASSADOREYEWEARGROUPINC_11_17_1997-EX-10.28-ENDORSEMENT AGREEMENT,"This Endorsement Agreement (""Agreement"") is signed between KI Inc., SW, and Diplomat. It gives Diplomat permission to use KI's name, likeness, and endorsement for KI Eyewear products globally until January 30, 2000. The royalty rate is 5% of the net wholesale volume sold by Diplomat or its affiliates. If Kmart does not carry KI eyewear before the first licensing year, Diplomat can terminate the agreement as of that date.","In the event this license is so terminated, Diplomat, its receivers,
representatives, trustees, agents, administrators, successors and/or assigns shall have no right to sell, exploit or in any way deal with or in
any of the products covered by this Agreement, or any carton, container,
packing or wrapping material, advertising, promotional or display material pertaining thereto, except with and under the special consent and
instructions of KI, Inc. in writing, which they shall be obligated to follow.
(c) If Diplomat shall violate any of its other material obligations under the terms of this Agreement, KI, Inc. shall have the
right to terminate the license hereby granted upon twenty (20) days'
notice in writing, and such notice of termination shall become effective unless Diplomat shall completely remedy the violation within the twenty-day period and satisfy
KI, Inc. that such violation has been remedied.
(d) Termination of the license under the provisions of this paragraph 14 shall be without prejudice to any rights which KI, Inc. may
otherwise have against Diplomat.",Not found,"Diplomat hereby indemnifies KI, Inc. and KI, undertakes to defend KI, Inc. and KI against, and hold KI, Inc. and KI harmless from, any claims, suits, loss and damage (including attorneys' fees and costs) arising out of (a) any allegedly unauthorized use of any patent, process, idea, method, or device by Diplomat in connection with the products covered by this Agreement, (b) any alleged defects in the products covered by this Agreement, and (c) any other alleged action by Diplomat."
"INTELLIGENTHIGHWAYSOLUTIONS,INC_01_18_2018-EX-10.1-Strategic Alliance Agreement","This strategic alliance agreement between Bravatek Solutions, Inc. and Fazync LLC aims to establish a business relationship for promoting Fazync's capabilities in the government sector through Bravatek's technical expertise in security-related software and telecom services. Key obligations include:
- Bravatek aspires to be a project-based sales lead finder for Fazync.
- Fazync commits to listing Bravatek as an alliance partner, providing timely responses, promoting products, co-branded marketing materials, and participating in sales calls.
- Both parties agree to jointly develop and implement a product solution strategy.",Not found,"Confidentiality
'Confidential information' shall mean any and all technical and non-technical information, documents and materials related to client projects of party and products, services and business of each of the parties.
Fazync and Bravatek agree to maintain in strict confidence and not to disclose or disseminate, or to use for any purposes other than performance of the projects, the Confidential Information disclosed.
The obligation of non-disclosure shall not apply to the following:
a. Any information that is already publicly known or has been independently developed by either party prior to disclosure; b. Any information that is obtained from a third party without breach of this agreement; c. Any information that is required to be disclosed pursuant to any applicable law, regulation, order, subpoena, judicial process, or other governmental request; d. Any information that is provided in good faith by a client for the purpose of evaluating the services offered by either party; e. Any information that is independently developed by either party without breach of this agreement.","Bravatek shall indemnify Fazync, its directors, officers and employees, for any and all damages, costs, expenses, and other liabilities, including reasonable attorney's fees and court costs, incurred in connection with any third-party claim, action or proceeding arising from the negligence
or intentional misconduct of Bravatek or breach of Bravatek of any of its obligations under this Agreement."
MPLXLP_06_17_2015-EX-10.1-TRANSPORTATION SERVICES AGREEMENT,"This transportation services agreement between Marathon Petroleum Company LP and Marathon Pipe Line LLC aims to enhance capacity on their common carrier pipeline systems through a joint venture initiative. The Pipeline will undergo phased improvements, with Shipper committing specific volumes of product transport under rates stipulated in Exhibit B. Risks include potential changes in applicable laws impacting the operation of the pipelines.","If MPL is in compliance with the terms and conditions of this Agreement, and Shipper decides to terminate this Agreement after the Effective Date but prior to the commencement of transportation service on the Pipeline, Shipper shall notify MPL of its decision to terminate within one hundred and eighty (180) days of the Project's in-service date to allow MPL the opportunity to provide Shipper's unwanted capacity to other interested shippers as Unsubscribed Capacity as set forth in Section 3.8.","Confidential Information means any proprietary or confidential information that is competitively sensitive material or otherwise of value to a Party or its Affiliates and not generally known to the public, including trade secrets, scientific or technical information, design, invention, process, procedure, formula, improvements, product planning information, marketing strategies, financial information, information regarding operations, consumer and/or customer relationships, consumer and/or customer identities and profiles, sales estimates, business plans, and internal performance results relating to the past, present or future business activities of a Party or its Affiliates and the consumers, customers, clients and suppliers of any of the foregoing.",Not found
PelicanDeliversInc_20200211_S-1_EX-10.3_11975895_EX-10.3_Development Agreement1,"SeattleSoftwareDevelopers has entered into a contract to develop additional features for Pelican Delivers, including POS integration, Google Maps API, payment processing, ID verification, reporting, driver app improvements, and a front-facing web application for customers. The project involves developing 1 iOS application with PhP, MySQL, AWS Hosting, jQuery, and JavaScript language, as well as designing the website to be customer-friendly. SeattleSoftwareDevelopers estimates that this project will take around six months of development, testing, and deployment, with milestones scheduled for January 1st, February 1st, March 1st, and April 1st. The fee is $279,000, with payments due at the start of the project and upon completion of each milestone.",Not found,Not found,Not found
ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement,"The contract details the terms for outsourcing the development of Miaoli Royal Resort Hotel in Chang Chen-Bin Architects' office building. Key obligations include architectural plans, soil conservation, environmental impact assessments, land usage changes, landscaping designs, and miscellaneous works. Notable risks include potential delays from design consultations and revisions, as well as unforeseen environmental impacts that could hinder project progress.",Not found,Not found,Not found
"GOOSEHEADINSURANCE,INC_04_02_2018-EX-10.6-Franchise Agreement","This contract is a franchise agreement between Goosehead Insurance Agency LLC and the Franchisee. The purpose of the agreement is to establish terms under which the Franchisee will operate as an insurance agency using Goosehead's System, including proprietary systems, technologies, and intellectual property rights. Key obligations include payment of initial fees, commencing operations at a specified date, purchasing products/services from Goosehead, operating according to standards, and complying with confidentiality agreements. Notable risks include financial commitments, operational compliance, and potential termination clauses.",Not found,"You agree that you will never copy, duplicate, record, or otherwise reproduce those materials, in whole or in part, nor will you otherwise make those materials available to any unauthorized person.

11.1 You agree that you will not, during the term of this Agreement or at any time thereafter, communicate, divulge, or use (for yourself and/or for the benefit of any other person, persons, partnerships, entities, associations, or corporations) any Confidential Information that may be communicated to you or of which you may be apprised by virtue of your operation under the terms of this Agreement.

11.2 You acknowledge and agree that any failure to comply with the requirements of this Section 11 will cause us irreparable injury, and you agree to pay all costs (including, without limitation, reasonable attorneys' fees, court costs, discovery costs, and all other related expenses) that we incur in obtaining specific performance of, or an injunction against violation of, the requirements of this Section 11.",Not found
